Family,Intrafamilial_taxa,Genus,Species,Authority,Medullary_bundles,Source
Achatocarpaceae,n/a,Achatocarpus ,praecox ,Griseb.,Absent,This study 
Achatocarpaceae,n/a,Phaulothamnus,spinescens,A.Gray,Absent,"Horak, 1980"
Agdestidaceae,n/a,Agdestis,clematidea,Moc. & Sessé ex DC.,Absent,This study 
Aizoaceae,Aizooideae,Aizoon,canariensis,L.,Absent,This study 
Aizoaceae,Aizooideae,Aizoon ,africanum ,(L.) Klak,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Aizooideae,Tetragonia ,fruticosa,L.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Aizooideae,Tetragonia,sp. ,,Absent,This study 
Aizoaceae,Aizooideae,Tetragonia,tetragonioides,(Pall.) Kuntze,Absent,Timonin (2011)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,cordifolium,L.f.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,hypertrophicum,Dinter,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,junceum,Haw.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,splendens,L.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,tetragonum,Thunb.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,tortuosum,L.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Mesembryanthemoideae,Mesembryanthemum,vaginatum,Lam.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Antimima,pumila,(Fedde & Schust.) H.E.K.Hartmann,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Argyroderma,delaetii,C.A.Maass,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Cephalophyllum,loreum,(L.) Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Cheiridopsis,peculiaris,N.E.Br.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Cleretum,lyratifolium,Ihlenf. & Struck,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Conicosia,pugioniformis,(L.) N.E.Br. ,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Conophytum,uviforme,(Haw.) N.E. Br.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Cylindrophyllum,comptonii,L.Bolus,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Delosperma ,herbeum,(N.E.Br.) N.E.Br.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Delosperma ,napiforme,Schwantes,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Delosperma,tradescantioides,(A.Berger) L.Bolus,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Didymaotus,lapidiformis,(Marloth) N.E.Br.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Drosanthemum,parvifolium,Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Fenestraria,rhopalophylla,(Schltr. & Diels) N.E.Br.,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Gibbaeum,hortenseae,(N.E. Br.) Thiede & Klak,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Gibbaeum,petrense,(N.E.Br.) Tischer,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Gibbaeum,velutinum,(L.Bolus) Schwantes,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Glottiphyllum,sp. ,,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Lampranthus,productus,(Haw.) N.E.Br.,Absent,This study
Aizoaceae,Ruschioideae,Lapidaria,margaretae,(Schwantes) Dinter & Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Lithops,aucampiae ,L.Bolus,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Lithops,marmorata,N.E.Br.,Absent,Ogura et al. (2018)
Aizoaceae,Ruschioideae,Malephora,lutea,Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Oscularia ,deltoides,deltoides (L.) Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Octopoma,subglobosum,(L.Bolus) L.Bolus,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Pleiospilos,nelii,Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Rabiea,difformis,(L. Bolus) L. Bolus,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Ruschia,caroli,Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Ruschia,maxima,L.Bolus,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Schlechteranthus,hallii,L.Bolus,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Titanopsis,calcarea,(Marloth) Schwantes,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Ruschioideae,Trichodiadema,sp.,,Absent,Melo-de-Pinna et al. (2014)
Aizoaceae,Sesuvioideae,Anisostigma,schenckii,Schinz,Absent,This study 
Aizoaceae,Sesuvioideae,Sesuvium ,portulacastrum,(L.) L.,Absent,This study 
Aizoaceae,Sesuvioideae,Sesuvium ,sesuvioides,(Fenzl) Verdc.,Absent,This study 
Aizoaceae,Sesuvioideae,Sesuvium ,revolutifolium ,Ortega,Absent,Elbar (2015)
Aizoaceae,Sesuvioideae,Trianthema ,decandra ,L.,Absent,Jain et al. (2010)
Amaranthaceae s.str.,Corispermoideae,Acroglochin ,persicarioides ,(Poir.) Moq.,Absent,Wilson (1924)
Amaranthaceae s.str.,Achyranthoids clade,Achyranthes,aspera,L.,Present,Joshi (1934); Raj & Nagar (1980); Bhambie & Sharma (1985)
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,bettzickiana,(Regel) G.Nicholson,Absent,Timonin (2011)
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,brasiliana,(L.) Kuntze,Present,This study; Duarte & Debur (2004)
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,ficoidea,(L.) P.Beauv.,Absent,Shrivastava (1958)
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,flavescens,Kunth,Absent,This study
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,philoxeroides,(Mart.) Griseb.,Absent,Yang et al. (2019)
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,pungens,(L.) Link,Absent,This study 
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera  ,sessilis,R. Br.,Present,Joshi (1931); Timonin (2011)
Amaranthaceae s.str.,Gomphrenoideae,Alternanthera ,sp.,,Absent,This study 
Amaranthaceae s.str.,Aervoids clade,Ouret ,coriacea,(Schinz) T.Hammer,Absent,This study
Amaranthaceae s.str.,Aervoids clade,Ouret,sanguinolenta ,(L.) Kuntze,Absent,Metcalfe & Chalk (1950)
Amaranthaceae s.str.,Amaranthoids clade,Amaranthus,acutilobus,Uline & W.L.Bray,Present,De Bary (1884)
Amaranthaceae s.str.,Amaranthoids clade,Amaranthus,albus,L.,Present,Costea & DeMason (2001)
Amaranthaceae s.str.,Amaranthoids clade,Amaranthus,blitoides,S.Watson,Present,Costea & DeMason (2001)
Amaranthaceae s.str.,Amaranthoids clade,Amaranthus,blitum,L.,Present,Metcalfe & Chalk (1950); Costea & DeMason (2001)
